id	naam	provincie	gemeente	is_vastgesteld	is_beschermd	datering	gebeurtenissen	disciplines	dataverantwoordelijke
306461	Kapelboom in populierenbos	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False	Onbepaald	Inventarisatie Dendervallei tussen Ninove en Geraardsbergen	Landschappelijk	Agentschap Onroerend Erfgoed
135206	Bellebroek en Dendermeersen tussen Oudegem en Wieze	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	True	Onbepaald	Inventarisatie ankerplaatsen Landschapsatlas 2001, Inventarisatie Dendervallei tussen Ninove en Geraardsbergen	Landschappelijk	Agentschap Onroerend Erfgoed
306454	Afgesneden Dendermeanders	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False	Onbepaald	Inventarisatie Dendervallei tussen Ninove en Geraardsbergen	Landschappelijk	Agentschap Onroerend Erfgoed
306455	Dorpswegel	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False         Onbepaald	Inventarisatie Dendervallei tussen Ninove en Geraardsbergen	Landschappelijk	Agentschap Onroerend Erfgoed
76439	Gesloten hoeve	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	vierde kwart 19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
301846	Opgaande es als hoekboom bij gewezen moestuin	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	Onbepaald	Ad hoc-inventarisatie landschappelijk erfgoed 2015	Landschappelijk	Agentschap Onroerend Erfgoed
130032	Gekandelaarde rij zwarte populieren Achtermaal Maleveld	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	True	Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
130035	Solitaire gekandelaarde zwarte populier Achtermaal Maleveld	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
130036	Gekandelaarde winterlinde als kapel- en hoekboom	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	True	Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
130037	Opgaande Canadapopulier als hoekboom	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	True	Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
130038	Haagbeuken kaphaag	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	True	Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
130199	Opgaande schietwilg als hoekboom	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	True	Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
