id	naam	provincie	gemeente	is_vastgesteld	is_beschermd	datering	gebeurtenissen	disciplines	dataverantwoordelijke
472	Pastorie Sint-Martinusparochie met tuin	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	True	19de eeuw, tweede helft 18de eeuw	Aanvullen informatie tuinen en parken in bestaande objecten, Inventarisatie bouwkundig erfgoed Aalst, Project beschermingsdatabank 2013-2016	Bouwkundig, Landschappelijk	Agentschap Onroerend Erfgoed
474	Burgerhuis	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False	19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
475	Dorpswoning	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	19de eeuw, tweede helft 18de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
477	Hoeve	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
473	Tweewoonst	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
476	Boerenarbeiderswoning	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False	vierde kwart 19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
130408	Geschoren taxussen op het kerkhof van Hofstade	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
76227	Textielbedrijf La Couverture	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	Onbepaald	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
6	Reeks arbeiderswoningen	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	eerste kwart 19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
130349	Moerbei in gewezen moestuin	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
130392	Knotbomenrij van haagbeuk en twee zwarte populieren	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False         Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
130395	Bomenrij van opgaande abelen, zwarte en Canadapopulieren	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False         Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
130403	Kaphaag van haagbeuk	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False         Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
130404	Op stam gezette mispel	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False         Onbepaald	Inventarisatie houtige beplantingen 2005-2013	Landschappelijk	Agentschap Onroerend Erfgoed
499	Semi-gesloten hoeve	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	18de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
500	Boerenhuisje	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	18de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
501	Boerenhuis	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
502	Boerenwoning gedateerd 1773	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False	derde kwart 18de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
503	Boerenhuisje gedateerd 1760	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	derde kwart 18de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
400	Kapel Onze-Lieve-Vrouw van Zeven Weeën	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False	derde kwart 19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
398	Hoeve Overmolen	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False	eerste helft 18de eeuw, eerste kwart 19de eeuw, tweede helft 18de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
399	Reeks arbeidershuizen	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
401	Hoeve	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	derde kwart 19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
308039	Geknotte populier als hoekboom	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False         Onbepaald	Ad hoc-inventarisatie landschappelijk erfgoed 2020	Landschappelijk	Agentschap Onroerend Erfgoed
161	Distillerie et Malterie Le Lion d'Or	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	tweede kwart 19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
162	Rij arbeiderswoningen	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False	eerste helft 19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
308036	Gekandelaarde zwarte populier als hoekboom	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	False	False         Onbepaald	Ad hoc-inventarisatie landschappelijk erfgoed 2020	Landschappelijk	Agentschap Onroerend Erfgoed
378	Kapel Onze-Lieve-Vrouw van Altijddurende Bijstand	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	True	vierde kwart 19de eeuw	Inventarisatie bouwkundig erfgoed Aalst, Project beschermingsdatabank 2013-2016	Bouwkundig	Agentschap Onroerend Erfgoed
379	Gesloten hoeve	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False	19de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
412	Sint-Annakapel	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	False	tweede kwart 18de eeuw	Inventarisatie bouwkundig erfgoed Aalst	Bouwkundig	Agentschap Onroerend Erfgoed
166	Domein Ronsevaal	<http://data.lblod.info/id/werkingsgebieden/a9a0cabd376a2b3a8eb838f15f6aeb1b63ffe49d527598994962e0d15ad2081c>	<http://data.lblod.info/id/bestuurseenheden/974816591f269bb7d74aa1720922651529f3d3b2a787f5c60b73e5a0384950a4>	True	True	interbellum, na WO II, vierde kwart 19de eeuw	Inventarisatie bouwkundig erfgoed Aalst, Project beschermingsdatabank 2013-2016	Bouwkundig, Landschappelijk	Agentschap Onroerend Erfgoed
